,Mob dist,Thresh,Anomaly
0,1.1505485371,3.9431994502,False
1,1.1505359051,3.9431994502,False
2,1.1505322327,3.9431994502,False
3,1.1505322327,3.9431994502,False
4,1.1504830562,3.9431994502,False
5,1.1504830562,3.9431994502,False
6,1.1504672488,3.9431994502,False
7,1.1504672488,3.9431994502,False
8,1.1504604294,3.9431994502,False
9,1.1504479631,3.9431994502,False
10,1.1504479631,3.9431994502,False
11,1.1504446799,3.9431994502,False
12,1.1504446799,3.9431994502,False
13,1.1504233429,3.9431994502,False
14,1.1504233429,3.9431994502,False
15,1.1504039054,3.9431994502,False
16,1.1504593853,3.9431994502,False
17,1.1504593853,3.9431994502,False
18,1.1505121709,3.9431994502,False
19,1.1505588589,3.9431994502,False
20,1.1506074839,3.9431994502,False
21,1.1506629691,3.9431994502,False
22,1.1507079628,3.9431994502,False
23,1.1507634506,3.9431994502,False
24,1.15081894,3.9431994502,False
25,1.1508654796,3.9431994502,False
26,1.1509036829,3.9431994502,False
27,1.1509591757,3.9431994502,False
28,1.1510146701,3.9431994502,False
29,1.1510508702,3.9431994502,False
30,1.1510937215,3.9431994502,False
31,1.151149219,3.9431994502,False
32,1.1512047181,3.9431994502,False
33,1.1512533552,3.9431994502,False
34,1.1513088571,3.9431994502,False
35,1.1513554049,3.9431994502,False
36,1.1514004092,3.9431994502,False
37,1.1514067116,3.9431994502,False
38,1.1514532557,3.9431994502,False
39,1.1514532557,3.9431994502,False
40,1.1514999593,3.9431994502,False
41,1.1515554666,3.9431994502,False
42,1.1516018928,3.9431994502,False
43,1.1516537271,3.9431994502,False
44,1.1516897706,3.9431994502,False
45,1.1518710989,3.9431994502,False
46,1.1519266153,3.9431994502,False
47,1.1519746965,3.9431994502,False
48,1.1520269262,3.9431994502,False
49,1.1520824467,3.9431994502,False
50,1.1521254834,3.9431994502,False
51,1.1521652092,3.9431994502,False
52,1.1522207328,3.9431994502,False
53,1.1522638555,3.9431994502,False
54,1.1523104184,3.9431994502,False
55,1.1523659457,3.9431994502,False
56,1.1524177961,3.9431994502,False
57,1.1524711212,3.9431994502,False
58,1.1525198203,3.9431994502,False
59,1.1525753533,3.9431994502,False
60,1.152556963,3.9431994502,False
61,1.1526124963,3.9431994502,False
62,1.1526680313,3.9431994502,False
63,1.1527109168,3.9431994502,False
64,1.152757487,3.9431994502,False
65,1.1528061911,3.9431994502,False
66,1.1528617309,3.9431994502,False
67,1.1529172722,3.9431994502,False
68,1.1529728153,3.9431994502,False
69,1.1530283599,3.9431994502,False
70,1.1530802252,3.9431994502,False
71,1.1530650332,3.9431994502,False
72,1.1531205792,3.9431994502,False
73,1.1531603195,3.9431994502,False
74,0.9498595527,3.9431994502,False
75,0.9498600849,3.9431994502,False
76,0.9498674629,3.9431994502,False
77,0.9498755458,3.9431994502,False
78,0.9498558462,3.9431994502,False
79,0.9498685338,3.9431994502,False
80,0.9498678106,3.9431994502,False
81,0.9498809635,3.9431994502,False
82,0.9498744298,3.9431994502,False
83,0.9498776751,3.9431994502,False
84,0.9498913133,3.9431994502,False
85,0.949898125,3.9431994502,False
86,0.9499067609,3.9431994502,False
87,0.9499097442,3.9431994502,False
88,0.9498906479,3.9431994502,False
89,0.9498883306,3.9431994502,False
90,1.4075192034,3.9431994502,False
91,1.4087039738,3.9431994502,False
92,1.4098357417,3.9431994502,False
93,1.4109008775,3.9431994502,False
94,1.4118428324,3.9431994502,False
95,1.4128888786,3.9431994502,False
96,1.414074927,3.9431994502,False
97,1.3862612636,3.9431994502,False
98,1.3909282647,3.9431994502,False
99,1.3932470262,3.9431994502,False
100,1.3955756454,3.9431994502,False
101,1.3978089845,3.9431994502,False
102,1.4001261874,3.9431994502,False
103,1.402448818,3.9431994502,False
104,1.4047019447,3.9431994502,False
105,1.4074999651,3.9431994502,False
106,1.4102036015,3.9431994502,False
107,1.4130174107,3.9431994502,False
108,1.4158163306,3.9431994502,False
109,1.4185307233,3.9431994502,False
110,1.4213851478,3.9431994502,False
111,1.4242006698,3.9431994502,False
112,1.4269522568,3.9431994502,False
113,1.4304990222,3.9431994502,False
114,1.4332423951,3.9431994502,False
115,1.4360926714,3.9431994502,False
116,1.4380171864,3.9431994502,False
117,1.4386802324,3.9431994502,False
118,1.3957084542,3.9431994502,False
119,1.3720482568,3.9431994502,False
120,1.3822937722,3.9431994502,False
121,1.3865389984,3.9431994502,False
122,1.390744236,3.9431994502,False
123,1.3946359599,3.9431994502,False
124,1.3926150521,3.9431994502,False
125,1.3764377171,3.9431994502,False
126,1.3353543164,3.9431994502,False
127,1.3427497256,3.9431994502,False
128,1.359903471,3.9431994502,False
129,1.3626322374,3.9431994502,False
130,1.3452020789,3.9431994502,False
131,1.3479718881,3.9431994502,False
132,1.3508675133,3.9431994502,False
133,1.3664295223,3.9431994502,False
134,1.3823213641,3.9431994502,False
135,1.3976737205,3.9431994502,False
136,1.4005151304,3.9431994502,False
137,1.4034613397,3.9431994502,False
138,1.4063442658,3.9431994502,False
139,1.4092014647,3.9431994502,False
140,1.4121555264,3.9431994502,False
141,1.4933407664,3.9431994502,False
142,1.4938942678,3.9431994502,False
143,1.4945124951,3.9431994502,False
144,1.4950679356,3.9431994502,False
145,1.4957149965,3.9431994502,False
146,1.4963268588,3.9431994502,False
147,1.4968754683,3.9431994502,False
148,1.4975207609,3.9431994502,False
149,1.4981919935,3.9431994502,False
150,1.498144802,3.9431994502,False
151,1.4981053362,3.9431994502,False
152,1.4980843068,3.9431994502,False
153,1.4979613909,3.9431994502,False
154,1.4979294467,3.9431994502,False
155,1.4977638994,3.9431994502,False
156,1.4977502657,3.9431994502,False
157,1.4977553359,3.9431994502,False
158,1.4976200108,3.9431994502,False
159,1.4975624058,3.9431994502,False
160,1.4975430497,3.9431994502,False
161,1.4974236564,3.9431994502,False
162,1.4973969278,3.9431994502,False
163,1.4972925673,3.9431994502,False
164,1.4972405536,3.9431994502,False
165,1.4972336313,3.9431994502,False
166,1.4971298572,3.9431994502,False
167,1.4970901779,3.9431994502,False
168,1.497014751,3.9431994502,False
169,1.4968371888,3.9431994502,False
170,1.4967246822,3.9431994502,False
171,1.4966122409,3.9431994502,False
172,1.4964224701,3.9431994502,False
173,1.4963011758,3.9431994502,False
174,1.4960947832,3.9431994502,False
175,1.4960032585,3.9431994502,False
176,1.4958837799,3.9431994502,False
177,1.4957186306,3.9431994502,False
178,1.4956049703,3.9431994502,False
179,1.4954969546,3.9431994502,False
180,1.4953048715,3.9431994502,False
181,1.4952032984,3.9431994502,False
182,1.4950647705,3.9431994502,False
183,1.4949225422,3.9431994502,False
184,1.4948049145,3.9431994502,False
185,1.479812889,3.9431994502,False
186,1.4795164563,3.9431994502,False
187,1.479212705,3.9431994502,False
188,1.4863313945,3.9431994502,False
189,1.4835639646,3.9431994502,False
190,1.4931451694,3.9431994502,False
191,1.4928737087,3.9431994502,False
192,1.49257661,3.9431994502,False
193,1.4923176454,3.9431994502,False
194,1.4920012242,3.9431994502,False
195,1.476918323,3.9431994502,False
196,1.4766106702,3.9431994502,False
197,1.4763290823,3.9431994502,False
198,1.4760030839,3.9431994502,False
199,1.4757522173,3.9431994502,False
200,1.4754303828,3.9431994502,False
201,1.4751503961,3.9431994502,False
202,1.4744926523,3.9431994502,False
203,1.4736666715,3.9431994502,False
204,1.4727560037,3.9431994502,False
205,1.471942987,3.9431994502,False
206,1.4710756165,3.9431994502,False
207,1.4701835669,3.9431994502,False
208,1.469362545,3.9431994502,False
209,1.4685030495,3.9431994502,False
210,1.4676853649,3.9431994502,False
211,1.4668002724,3.9431994502,False
212,1.4660110353,3.9431994502,False
213,1.4651427479,3.9431994502,False
214,1.4643320672,3.9431994502,False
215,1.4634841547,3.9431994502,False
216,1.4626377708,3.9431994502,False
217,1.4617576135,3.9431994502,False
218,1.4609542462,3.9431994502,False
219,1.4601505248,3.9431994502,False
220,1.4593902486,3.9431994502,False
221,1.4585692743,3.9431994502,False
222,1.457762088,3.9431994502,False
223,1.456909108,3.9431994502,False
224,1.4560944348,3.9431994502,False
225,1.45516205,3.9431994502,False
226,1.4543495436,3.9431994502,False
227,1.4535211202,3.9431994502,False
228,1.4527226416,3.9431994502,False
229,1.4518483882,3.9431994502,False
230,1.451127349,3.9431994502,False
231,1.4508312625,3.9431994502,False
232,1.4675568491,3.9431994502,False
233,1.4662096311,3.9431994502,False
234,1.4649583039,3.9431994502,False
235,1.4636101355,3.9431994502,False
236,1.4623494033,3.9431994502,False
237,1.4605607422,3.9431994502,False
238,1.4583833323,3.9431994502,False
239,1.456325753,3.9431994502,False
240,1.4541731675,3.9431994502,False
241,1.4521223832,3.9431994502,False
242,1.4500102231,3.9431994502,False
243,1.4654008572,3.9431994502,False
244,1.4648202839,3.9431994502,False
245,1.4643244901,3.9431994502,False
246,1.440131769,3.9431994502,False
247,1.4647470334,3.9431994502,False
248,1.4475851638,3.9431994502,False
249,1.4327368351,3.9431994502,False
250,1.4368941142,3.9431994502,False
251,1.4364236101,3.9431994502,False
252,1.4274215629,3.9431994502,False
253,1.4210114061,3.9431994502,False
254,1.4200335469,3.9431994502,False
255,1.4175594008,3.9431994502,False
256,1.4224123803,3.9431994502,False
257,1.420591296,3.9431994502,False
258,1.4188211354,3.9431994502,False
259,1.4170889179,3.9431994502,False
260,1.4127468483,3.9431994502,False
261,1.4114611579,3.9431994502,False
262,1.4092334796,3.9431994502,False
263,1.4093315245,3.9431994502,False
264,1.4095592849,3.9431994502,False
265,1.4114320052,3.9431994502,False
266,1.4110693109,3.9431994502,False
267,1.4081386587,3.9431994502,False
268,1.4082263637,3.9431994502,False
269,1.4095060613,3.9431994502,False
270,1.4094147016,3.9431994502,False
271,1.4093294581,3.9431994502,False
272,1.409210757,3.9431994502,False
273,1.4090868239,3.9431994502,False
274,1.4089685337,3.9431994502,False
275,1.4088853017,3.9431994502,False
276,1.4087916452,3.9431994502,False
277,1.4083744761,3.9431994502,False
278,1.4082973108,3.9431994502,False
279,1.4081892221,3.9431994502,False
280,1.4081060171,3.9431994502,False
281,1.4079815728,3.9431994502,False
282,1.4078622465,3.9431994502,False
283,1.4077770047,3.9431994502,False
284,1.4076665313,3.9431994502,False
285,1.40753214,3.9431994502,False
286,1.4074358733,3.9431994502,False
287,1.4073508169,3.9431994502,False
288,1.4072414577,3.9431994502,False
289,1.4070821977,3.9431994502,False
290,1.4036409502,3.9431994502,False
291,1.4035825526,3.9431994502,False
292,1.4034773643,3.9431994502,False
293,1.4033525379,3.9431994502,False
294,1.4032332421,3.9431994502,False
295,1.4031564367,3.9431994502,False
296,1.4030289207,3.9431994502,False
297,1.40291731,3.9431994502,False
298,1.4028220514,3.9431994502,False
299,1.4027122351,3.9431994502,False
300,1.4025762476,3.9431994502,False
301,1.4024248509,3.9431994502,False
302,1.4023279244,3.9431994502,False
303,1.4022327248,3.9431994502,False
304,1.4021477754,3.9431994502,False
305,1.4020199771,3.9431994502,False
306,1.4019046847,3.9431994502,False
307,1.4018171891,3.9431994502,False
308,1.4017391568,3.9431994502,False
309,1.4015645092,3.9431994502,False
310,1.4015040631,3.9431994502,False
311,1.4013950305,3.9431994502,False
312,1.4012988867,3.9431994502,False
313,1.4011418141,3.9431994502,False
314,1.4010512062,3.9431994502,False
315,1.4010118458,3.9431994502,False
316,1.4009640621,3.9431994502,False
317,1.4008897811,3.9431994502,False
318,1.4008199114,3.9431994502,False
319,1.40081185,3.9431994502,False
320,1.4009111231,3.9431994502,False
321,1.4010256415,3.9431994502,False
322,1.4011499136,3.9431994502,False
323,1.4002827279,3.9431994502,False
324,1.3988646672,3.9431994502,False
325,1.3974342283,3.9431994502,False
326,1.3960225622,3.9431994502,False
327,1.3945427101,3.9431994502,False
328,1.393135209,3.9431994502,False
329,1.3923248111,3.9431994502,False
330,1.3924931339,3.9431994502,False
331,1.3926457202,3.9431994502,False
332,1.3928080105,3.9431994502,False
333,1.39294203,3.9431994502,False
334,1.3931133787,3.9431994502,False
335,1.3932206089,3.9431994502,False
336,1.393368181,3.9431994502,False
337,1.3935180886,3.9431994502,False
338,1.3936643873,3.9431994502,False
339,1.393808878,3.9431994502,False
340,1.3939631843,3.9431994502,False
341,1.3941183196,3.9431994502,False
342,1.3942818565,3.9431994502,False
343,1.3944296858,3.9431994502,False
344,1.394590166,3.9431994502,False
345,1.3947420062,3.9431994502,False
346,1.3948864119,3.9431994502,False
347,1.395060625,3.9431994502,False
348,1.3951918715,3.9431994502,False
349,1.3953399914,3.9431994502,False
350,1.3955034485,3.9431994502,False
351,1.395684304,3.9431994502,False
352,1.3958360698,3.9431994502,False
353,1.395997412,3.9431994502,False
354,1.3960969142,3.9431994502,False
355,1.3962461294,3.9431994502,False
356,1.3962158132,3.9431994502,False
357,1.3957849587,3.9431994502,False
358,1.3953688659,3.9431994502,False
359,1.3949516042,3.9431994502,False
360,1.3945434085,3.9431994502,False
361,1.3941272483,3.9431994502,False
362,1.3937115029,3.9431994502,False
363,1.3933129011,3.9431994502,False
364,1.392874389,3.9431994502,False
365,1.3924670848,3.9431994502,False
366,1.3920798286,3.9431994502,False
367,1.3916380875,3.9431994502,False
368,1.3913010195,3.9431994502,False
369,1.3908751845,3.9431994502,False
370,1.3902139783,3.9431994502,False
371,1.3898429515,3.9431994502,False
372,1.3894093316,3.9431994502,False
373,1.3889275031,3.9431994502,False
374,1.3885288361,3.9431994502,False
375,1.3881034799,3.9431994502,False
376,1.3876950378,3.9431994502,False
377,1.3872727634,3.9431994502,False
378,1.3868614464,3.9431994502,False
379,1.3864391464,3.9431994502,False
380,1.3860266069,3.9431994502,False
381,1.3856749539,3.9431994502,False
382,1.3852772656,3.9431994502,False
383,1.3848436351,3.9431994502,False
384,1.3844559692,3.9431994502,False
385,1.3840311177,3.9431994502,False
386,1.3836036021,3.9431994502,False
387,1.3832453271,3.9431994502,False
388,1.3802435732,3.9431994502,False
389,1.379840434,3.9431994502,False
390,1.3794334335,3.9431994502,False
391,1.3790106948,3.9431994502,False
392,1.3785325557,3.9431994502,False
393,1.3781329817,3.9431994502,False
394,1.3777565612,3.9431994502,False
395,1.3773624783,3.9431994502,False
396,1.3769575318,3.9431994502,False
397,1.3765319928,3.9431994502,False
398,1.3761514926,3.9431994502,False
399,1.3757013449,3.9431994502,False
400,1.3753012101,3.9431994502,False
401,1.3749216678,3.9431994502,False
402,1.3744781845,3.9431994502,False
403,1.3741049433,3.9431994502,False
404,1.3736778223,3.9431994502,False
405,1.3732887965,3.9431994502,False
406,1.3729249077,3.9431994502,False
407,1.3724893328,3.9431994502,False
408,1.372078925,3.9431994502,False
409,1.3715927196,3.9431994502,False
410,1.3711439985,3.9431994502,False
411,1.370640884,3.9431994502,False
412,1.3701885048,3.9431994502,False
413,1.3697656974,3.9431994502,False
414,1.3693060811,3.9431994502,False
415,1.368850476,3.9431994502,False
416,1.3683790131,3.9431994502,False
417,1.3679546113,3.9431994502,False
418,1.3674880322,3.9431994502,False
419,1.3671121765,3.9431994502,False
420,1.3666612069,3.9431994502,False
421,1.3662243596,3.9431994502,False
422,1.3655276232,3.9431994502,False
423,1.3650840659,3.9431994502,False
424,1.3646301208,3.9431994502,False
425,1.364074079,3.9431994502,False
426,1.3634721969,3.9431994502,False
427,1.3628800034,3.9431994502,False
428,1.3622186084,3.9431994502,False
429,1.3616252895,3.9431994502,False
430,1.3610389513,3.9431994502,False
431,1.3603434094,3.9431994502,False
432,1.3598114135,3.9431994502,False
433,1.3592246846,3.9431994502,False
434,1.3585420363,3.9431994502,False
435,1.3582124648,3.9431994502,False
436,1.3576028106,3.9431994502,False
437,1.3570112386,3.9431994502,False
438,1.356355407,3.9431994502,False
439,1.3557468089,3.9431994502,False
440,1.3551533615,3.9431994502,False
441,1.3544847958,3.9431994502,False
442,1.3539150959,3.9431994502,False
443,1.3532969013,3.9431994502,False
444,1.3526566708,3.9431994502,False
445,1.3521287534,3.9431994502,False
446,1.3515253026,3.9431994502,False
447,1.3508704311,3.9431994502,False
448,1.3502864888,3.9431994502,False
449,1.3496818693,3.9431994502,False
450,1.3519026478,3.9431994502,False
451,1.351877064,3.9431994502,False
452,1.3518120065,3.9431994502,False
453,1.3517132738,3.9431994502,False
454,1.3516662092,3.9431994502,False
455,1.3516383921,3.9431994502,False
456,1.3515405472,3.9431994502,False
457,1.3514717201,3.9431994502,False
458,1.351455222,3.9431994502,False
459,1.3513666703,3.9431994502,False
460,1.3513311538,3.9431994502,False
461,1.3513142971,3.9431994502,False
462,1.3512232003,3.9431994502,False
463,1.3511964752,3.9431994502,False
464,1.3511306041,3.9431994502,False
465,1.3508111333,3.9431994502,False
466,1.3507676027,3.9431994502,False
467,1.3507363683,3.9431994502,False
468,1.3506507858,3.9431994502,False
469,1.3506089381,3.9431994502,False
470,1.3505503696,3.9431994502,False
471,1.3504633411,3.9431994502,False
472,1.3504153386,3.9431994502,False
473,1.3503825256,3.9431994502,False
474,1.350263825,3.9431994502,False
475,1.3502395481,3.9431994502,False
476,1.3501826781,3.9431994502,False
477,1.350074341,3.9431994502,False
478,1.3500051209,3.9431994502,False
479,1.3502020961,3.9431994502,False
480,1.350102467,3.9431994502,False
481,1.3501163141,3.9431994502,False
482,1.3500526284,3.9431994502,False
483,1.3499694881,3.9431994502,False
484,1.3500763875,3.9431994502,False
485,1.3501968038,3.9431994502,False
486,1.3502887906,3.9431994502,False
487,1.3504260969,3.9431994502,False
488,1.3504878143,3.9431994502,False
489,1.3505756859,3.9431994502,False
490,1.350709425,3.9431994502,False
491,1.3508522929,3.9431994502,False
492,1.3509327758,3.9431994502,False
493,1.3510412221,3.9431994502,False
494,1.351080478,3.9431994502,False
495,1.3511822661,3.9431994502,False
496,1.3513487394,3.9431994502,False
497,1.3515116604,3.9431994502,False
498,1.351608532,3.9431994502,False
499,1.3518037657,3.9431994502,False
500,1.3520146634,3.9431994502,False
501,1.3520508578,3.9431994502,False
502,1.3522265465,3.9431994502,False
503,1.3524617585,3.9431994502,False
504,1.3526494363,3.9431994502,False
505,1.3529092593,3.9431994502,False
506,1.3531257904,3.9431994502,False
507,1.3532274951,3.9431994502,False
508,1.3534440655,3.9431994502,False
509,1.3536612079,3.9431994502,False
510,1.3538255079,3.9431994502,False
511,1.3540874434,3.9431994502,False
512,1.3543376529,3.9431994502,False
513,1.3544377906,3.9431994502,False
514,1.3546756179,3.9431994502,False
515,1.3549157689,3.9431994502,False
516,1.3551057296,3.9431994502,False
517,1.3553330369,3.9431994502,False
518,1.3555654477,3.9431994502,False
519,1.3559211598,3.9431994502,False
520,1.3562936225,3.9431994502,False
521,1.35663575,3.9431994502,False
522,1.3570057426,3.9431994502,False
523,1.3573387536,3.9431994502,False
524,1.3577329709,3.9431994502,False
